household_id,button_id,concept,num_modeling_events,num_spont_button_press
471,4810,TREAT-ALL,18,781
471,4811,PERSON-PARENT,6,19
471,4813,HI,11,56
471,4817,INDOOR LOCATION-OTHER,6,43
471,10251,PERSON-PARENT,11,31
471,10252,ANIMAL-FRIEND,10,9
471,10255,PLAY-ALL,14,69
471,10257,FOOD,2,559
471,10258,OWN NAME,31,16
471,10259,SCRITCHES,1,21
471,10261,GO OUTSIDE,16,42
471,10262,WATER,1,107
471,17998,WANT,45,83
471,17999,COME,1,21
471,18000,TOY-BALL,4,44
471,18001,PEE,8,19
471,18002,POOP,4,8
471,18003,NOW,19,11
471,18004,LATER,14,24
471,18005,LET'S GO,17,29
471,18006,YES,13,28
471,18007,NO,6,20
471,18008,PLACE-PARK,4,26
471,18009,OTHER,4,25
471,18010,CONCERNED,4,12
471,18011,HELP,3,45
471,18012,HOME,2,56
471,18013,TRICK-GIVE PAW,2,40
471,18015,OTHER,1,21
471,18016,OTHER,4,15
471,18017,OTHER,18,110
471,18018,OTHER,12,63
471,18574,LOVE YOU,7,23
471,18575,OTHER,45,28
471,19385,ANIMAL-FRIEND,3,37
471,19386,PERSON-STRANGER,2,52
471,19467,HAPPY,9,50
471,19468,MAD,3,51
471,19485,PLACE-OTHER,1,21
471,19530,ANIMAL-FRIEND,22,14
471,20096,FOOD,17,198
471,20248,SETTLE,5,24
471,20708,OTHER,5,26
471,22084,BYE,2,7
471,22200,OTHER,7,4
471,22201,OTHER,4,10
471,22215,ANIMAL-FRIEND,1,2
471,22223,ANIMAL-OTHER,1,8
471,22335,PERSON-FRIEND,3,0
471,22578,OTHER,3,3
471,22581,ANIMAL-BUG,1,0
471,22745,TREAT-ICE,5,137
471,22781,OTHER,7,4
471,23443,OTHER,3,23
471,23923,OTHER,3,0
471,24187,PLACE-OTHER,2,9
471,24673,PERSON-RELATIVE,1,0
471,NA,NA,1,0
519,20918,YES,8,73
519,20919,GO OUTSIDE,30,20
519,20920,PLAY-ALL,4,31
519,20921,ALL DONE,10,11
519,20922,TOY-OTHER,25,76
519,20923,LOVE YOU,18,18
519,20924,PERSON-PARENT,6,12
519,20925,OWN NAME,6,15
519,20926,WANT,26,39
519,20927,TOY-BONE,26,12
519,20928,INTERROGATIVE/QUESTION,18,62
519,20929,GO TO BED,13,14
519,20930,FOOD,33,38
519,21142,BODY PART,6,10
519,21143,HELP,5,3
519,24168,SCRITCHES,1,5
522,5024,ALL DONE,70,113
522,5025,PERSON-PARENT,96,7
522,5026,TOY-BALL,1,19
522,5027,OWN NAME,123,20
522,5028,BYE,49,12
522,5029,PLACE-OTHER,16,34
522,5030,CUDDLE,23,27
522,5031,TOY-OTHER,12,32
522,5032,HI,25,8
522,5033,INTERROGATIVE/QUESTION,18,0
522,5034,HOME,72,79
522,5035,GO INSIDE,71,47
522,5036,LATER,15,41
522,5037,NO,7,2
522,5038,NOW,68,49
522,5039,BEGIN TRAINING SESSION,2,3
522,5040,OUTDOOR LOCATION-BACK YARD,79,162
522,5041,PLAY-ALL,14,16
522,5043,PERSON-PARENT,21,13
522,5044,SETTLE,18,4
522,5045,OTHER,7,34
522,5046,POTTY,53,8
522,5047,TRICK-OTHER,10,3
522,5048,TRICK-OTHER,9,5
522,5049,TOY-OTHER,18,30
522,5050,WANT,38,3
522,5052,INTERROGATIVE/QUESTION,18,0
522,5053,PLACE-OTHER,4,1
522,5054,YES,12,1
574,18539,GO OUTSIDE,14,40
574,18540,POTTY,6,30
574,18541,HELP,3,20
574,18542,PLAY-ALL,33,22
574,18543,SCRITCHES,10,24
574,18544,TOY-BALL,12,20
574,18545,TOY-OTHER,9,8
574,18546,TOY-PUZZLE,3,16
574,18547,OUTDOOR LOCATION-FRONT YARD,3,11
574,18548,OUTDOOR LOCATION-BACK YARD,6,19
574,18549,ALL DONE,28,18
574,18551,NO,9,31
574,18552,YES,37,32
574,18900,PERSON-PARENT,24,29
574,18901,PERSON-PARENT,9,25
574,18902,OWN NAME,30,12
574,18903,PERSON-STRANGER,17,9
574,19413,TOY-BONE,14,6
574,19551,ANIMAL-CAT,4,4
574,19552,PLAY-HIDE & SEEK,3,5
615,17297,YES,9,22
615,17298,WATER,4,30
615,17438,PERSON-PARENT,6,29
615,17440,ANIMAL-FRIEND,2,3
615,17441,NO,11,8
615,17442,LOVE YOU,6,19
615,17443,OTHER,5,25
615,17444,FOOD,9,155
615,17446,TREAT-ALL,13,255
615,17448,PLACE-PARK,8,110
615,17449,LET'S GO,3,48
615,17450,GO OUTSIDE,18,228
615,17451,PEE,5,116
615,17452,OTHER,2,44
615,17453,TOY-BALL,1,19
615,17454,INTERROGATIVE/QUESTION,20,64
615,17455,PLAY-ALL,4,38
615,17456,ALL DONE,8,35
615,17457,HAPPY,8,10
615,17458,WATER,4,75
615,17459,ANIMAL-CAT,5,10
615,17460,MORE,5,89
615,17461,WANT,17,42
615,17462,LATER,6,4
615,17463,OWN NAME,14,22
615,17496,WALK,1,22
615,17499,GO TO BED,1,63
615,17602,ANIMAL-FRIEND,2,7
615,18123,OTHER,1,14
615,18905,NOW,5,2
615,19171,OTHER,3,64
615,19517,INDOOR LOCATION-OTHER,6,5
615,21999,OTHER,4,0
615,24247,PLACE-OTHER,5,37
615,24885,PERSON-SIBLING,2,0
686,5117,ALL DONE,20,119
686,5118,TOY-BALL,3,57
686,5119,OWN NAME,28,25
686,5120,INDOOR LOCATION-BEDROOM,2,77
686,5121,PLACE-OTHER,6,120
686,5122,FOOD,21,210
686,5124,BYE,3,31
686,5125,RIDE,4,63
686,5126,TEMPERATURE-COLD,2,3
686,5127,COME,1,53
686,5128,CONCERNED,3,45
686,5129,PERSON-PARENT,8,19
686,5131,FOOD,24,461
686,5134,TREAT-ICE,3,701
686,5135,ANIMAL-FRIEND,2,46
686,5139,HI,1,25
686,5140,HELP,1,61
686,5142,INTERROGATIVE/QUESTION,30,45
686,5143,HOME,6,34
686,5144,TEMPERATURE-HOT,3,6
686,5145,FOOD,2,761
686,5146,GO INSIDE,2,147
686,5147,ANIMAL-CAT,11,37
686,5148,LATER,8,97
686,5150,LOVE YOU,7,59
686,5152,PERSON-PARENT,9,38
686,5153,MORE,9,411
686,5154,PERSON-ROOMMATE,4,15
686,5155,NO,6,238
686,5156,NOW,14,75
686,5157,YES,10,255
686,5159,GO OUTSIDE,28,963
686,5160,TOY-STUFFED ANIMAL,2,10
686,5161,PLAY-ALL,4,51
686,5163,POTTY,6,83
686,5164,OTHER,3,7
686,5167,OTHER,1,8
686,5168,CUDDLE,1,31
686,5169,ANIMAL-SQUIRREL,4,19
686,5170,PERSON-STRANGER,5,32
686,5171,TREAT-ALL,29,2298
686,5173,INDOOR LOCATION-UPSTAIRS,1,30
686,5176,WALK,16,987
686,5177,WANT,44,99
686,5178,WATER,4,222
686,5179,INTERROGATIVE/QUESTION,12,26
686,5180,INTERROGATIVE/QUESTION,1,11
686,5181,INTERROGATIVE/QUESTION,2,45
686,5182,INTERROGATIVE/QUESTION,4,39
686,5185,YES,9,1002
686,5186,ANIMAL-DOG,3,5
686,16608,OTHER,5,4
686,23816,LET'S GO,1,0
715,17002,WALK,460,191
715,17003,PLAY-ALL,201,83
715,17004,WATER,167,206
715,17005,LOVE YOU,128,92
715,17006,ALL DONE,300,97
715,17007,FOOD,416,362
715,17008,COME,116,72
715,17641,GO OUTSIDE,185,65
715,18277,SETTLE,123,32
715,18278,TOY-PUZZLE,56,42
715,18649,NOW,383,244
715,18650,LATER,74,33
715,19110,OWN NAME,451,19
715,19111,PERSON-PARENT,204,4
715,19843,WANT,221,9
715,19844,MORE,49,4
715,20888,OTHER,20,2
715,20889,OTHER,9,0
715,21026,INTERROGATIVE/QUESTION,14,4
715,21027,TOY-OTHER,21,1
715,21028,TOY-OTHER,42,0
715,21029,TOY-BONE,37,86
715,21653,INTERROGATIVE/QUESTION,26,4
715,21654,INTERROGATIVE/QUESTION,67,9
715,21859,YES,93,4
715,21860,NO,53,14
715,22912,INDOOR LOCATION-BEDROOM,48,0
715,22913,INDOOR LOCATION-OTHER,14,0
715,23218,HAPPY,25,1
715,23219,MAD,19,1
715,23220,CONCERNED,12,1
715,24074,OTHER,21,34
715,24075,OTHER,11,3
715,24076,OTHER,19,4
746,11564,WALK,18,14
746,11565,GO OUTSIDE,126,8
746,11566,PLAY-ALL,46,86
746,11567,BEGIN TRAINING SESSION,63,57
746,17777,WATER,13,3
746,17778,TREAT-ICE,5,3
746,17779,LOVE YOU,38,27
746,17780,PERSON-PARENT,33,53
746,17781,PERSON-PARENT,6,45
746,17782,PERSON-RELATIVE,1,7
746,17783,ALL DONE,68,6
746,19514,OWN NAME,104,11
746,19515,FOOD,67,1
746,22720,YES,10,0
746,22721,NO,2,6
767,9285,NA,25,18
767,10771,FOOD,9,87
767,10772,WATER,4,56
767,16952,OUTDOOR LOCATION-BACK YARD,28,208
767,16953,PLAY-ALL,19,158
767,16954,LOVE YOU,11,212
767,16955,GO INSIDE,17,68
767,16956,COME,2,92
767,16957,WAIT,20,30
767,16958,NOW,22,124
767,16959,ANIMAL-CAT,7,71
767,16960,PERSON-PARENT,22,175
767,16961,PERSON-PARENT,21,134
767,16962,PERSON-SIBLING,9,115
767,16963,OWN NAME,47,120
767,16964,ALL DONE,23,26
767,16965,TREAT-ALL,9,33
767,16966,WANT,14,75
767,16967,TOY-OTHER,7,57
767,17533,YES,34,49
767,17534,NO,20,54
767,18195,RIDE,13,31
767,18196,FOOD,14,47
767,18476,BEGIN TRAINING SESSION,5,30
767,18477,SCRITCHES,7,44
767,19266,POTTY,5,32
767,19267,POTTY,1,4
767,19309,PLACE-OTHER,16,6
767,19310,HOME,10,26
767,19446,WALK,4,21
767,19456,GO TO BED,8,14
767,19550,TREAT-ALL,5,8
767,19612,TOY-BONE,6,25
767,19799,HI,1,12
767,19800,BYE,1,7
767,19803,PERSON-RELATIVE,6,10
767,19855,INTERROGATIVE/QUESTION,8,4
767,19975,OTHER,9,8
767,20726,TOY-BALL,7,5
767,21495,PLACE-OTHER,1,0
767,NA,NA,1,1
788,20137,GO OUTSIDE,35,207
788,20138,PLAY-ALL,18,96
788,20139,ALL DONE,31,4
788,20140,TOY-OTHER,3,86
788,20141,LATER,20,9
788,20142,NOW,6,19
788,20143,WANT,7,61
788,20144,TREAT-ICE,3,0
788,20145,INDOOR LOCATION-UPSTAIRS,26,38
788,20146,ANIMAL-DOG,8,9
788,20147,PERSON-FRIEND,7,67
788,20149,FOOD,4,24
788,20150,SCRITCHES,5,28
788,20151,LET'S GO,19,0
788,20152,HAPPY,1,4
788,20153,SAD,1,4
788,20154,ANIMAL-FRIEND,9,12
788,20155,PERSON-FRIEND,5,29
788,20156,HELP,4,15
788,20157,PERSON-FRIEND,24,100
788,20158,OWN NAME,30,9
788,20160,OTHER,13,27
788,20161,NO,14,33
788,20162,YES,12,77
788,20163,LOOK,7,2
788,20164,OTHER,10,42
788,21062,LOVE YOU,2,0
814,16465,GO OUTSIDE,70,245
814,16466,BYE,4,0
814,16467,PERSON-PARENT,3,11
814,16468,ANIMAL-SQUIRREL,2,1
814,16469,OTHER,5,1
814,16470,ALL DONE,43,34
814,16471,SCRITCHES,16,34
814,16492,WATER,18,24
814,18950,WANT,39,5
814,18951,TOY-BALL,1,3
814,25634,PERSON-STRANGER,1,0
1061,20813,GO OUTSIDE,169,47
1061,20814,PLAY-ALL,40,114
1061,20815,PLAY-TUG,79,52
1061,20816,CUDDLE,27,53
1061,20836,WATER,26,35
1061,21400,ALL DONE,161,69
1061,21401,WALK,35,18
1061,21402,POTTY,84,46
1061,21403,POOP,20,53
1061,22567,CONCERNED,10,66
1061,22568,MAD,6,40
1061,22569,HAPPY,10,56
1061,23272,PERSON-PARENT,33,37
1061,23273,OWN NAME,75,46
1061,23274,TOY-STUFFED ANIMAL,7,11
1061,23275,HELP,10,42
1061,24044,LOVE YOU,8,36
1061,24045,FOOD,33,63
1061,24046,YES,22,22
1061,24047,NO,1,22
1061,25205,WANT,20,10
1061,25206,OTHER,3,3
1061,25207,OTHER,3,5
1061,25208,OTHER,2,3
1061,25211,SCRITCHES,7,2
1061,25212,BODY PART,7,1
1090,5348,SCRITCHES,19,53
1090,5349,OTHER,18,12
1090,5351,TOY-OTHER,1,109
1090,5352,ANIMAL-CAT,112,15
1090,5353,MAD,15,2
1090,5354,LAP,17,5
1090,5356,GO OUTSIDE,118,513
1090,5359,FOOD,52,200
1090,5361,OTHER,16,0
1090,5362,HI,9,66
1090,5364,TOY-OTHER,3,9
1090,5365,TREAT-ICE,1,67
1090,5366,ALL DONE,98,18
1090,5367,TOY-OTHER,1,100
1090,5368,COME,11,560
1090,5369,PERSON-PARENT,83,460
1090,5372,FOOD,13,0
1090,5374,YES,8,2
1090,5376,INDOOR LOCATION-DOWNSTAIRS,10,6
1090,5378,POTTY,8,16
1090,5379,POOP,4,25
1090,5380,TREAT-ALL,36,112
1090,5381,PLAY-ALL,39,535
1090,5382,OTHER,29,3
1090,5383,PERSON-PARENT,22,91
1090,5384,INTERROGATIVE/QUESTION,10,0
1090,5386,WANT,58,124
1090,5387,OWN NAME,11,129
1090,10971,PERSON-STRANGER,8,0
1090,10978,OTHER,19,0
1090,10981,NO,30,2
1090,10995,SAD,15,0
1090,15966,OUTDOOR LOCATION-OTHER,23,5
1090,15967,LOOK,10,0
1090,15968,GO INSIDE,42,2
1090,15989,OTHER,14,0
1090,15993,SETTLE,1,0
1090,16320,OTHER,44,0
1090,16333,BYE,30,0
1090,16505,HAPPY,10,2
1090,16592,ANIMAL-OTHER,47,1
1090,17520,OTHER,30,1
1090,17568,TOY-PUZZLE,19,0
1090,18044,CONCERNED,3,0
1090,18045,OTHER,4,0
1090,18046,OTHER,1,0
1090,18496,OTHER,8,0
1090,18933,OTHER,8,0
1090,19112,OTHER,7,0
1090,19466,OTHER,6,0
1090,20230,BODY PART,1,0
1090,20231,OTHER,6,0
1090,20642,ANIMAL-BIRD,7,0
1090,21678,TOY-OTHER,6,0
1090,22252,OTHER,9,0
1090,22414,TOY-PUZZLE,7,0
1090,22462,OTHER,6,0
1090,23799,HELP,5,0
1090,26176,OTHER,2,0
1109,16882,TOY-OTHER,22,31
1109,16894,PLAY-ALL,9,17
1109,17018,GO OUTSIDE,8,22
1109,17019,PLACE-OTHER,3,9
1109,17022,WALK,7,10
1109,17023,POOP,2,4
1109,17024,NOW,9,31
1109,17025,LATER,12,7
1109,17026,ALL DONE,16,16
1109,17027,SETTLE,9,11
1109,17028,WATER,2,11
1109,17029,FOOD,28,30
1109,17030,OWN NAME,28,26
1109,17031,PERSON-PARENT,27,15
1109,17032,PERSON-PARENT,10,20
1109,17033,COME,4,24
1109,17034,HELP,17,44
1109,17088,POTTY,13,9
1109,18295,WANT,1,0
1109,18808,OK,1,0
1168,19961,GO OUTSIDE,31,175
1168,19962,PLAY-ALL,38,196
1168,19963,ALL DONE,42,105
1168,19964,TOY-PUZZLE,38,200
1168,19965,PLAY-TUG,9,160
1168,19966,OWN NAME,83,174
1168,19967,PERSON-PARENT,41,91
1168,19968,PERSON-PARENT,11,209
1168,19969,WATER,22,28
1168,19970,LOVE YOU,11,132
1168,19971,TOY-BALL,24,123
1168,22436,HELP,6,28
1168,22437,WANT,23,77
1168,22438,WALK,13,77
1168,22439,ANIMAL-FRIEND,5,56
1168,25394,LOOK,5,4
1168,25427,SETTLE,12,6
1168,25429,BEGIN TRAINING SESSION,1,1
1203,19495,GO OUTSIDE,15,790
1203,19496,FOOD,101,315
1203,19497,WATER,50,6
1203,19498,ALL DONE,15,4
1203,19499,OTHER,99,1
1203,19500,OTHER,3,3
1203,20649,PLAY-ALL,5,0
1357,21030,NA,1,16
1364,5466,ALL DONE,2,22
1364,5468,COME,1,1
1364,5471,FOOD,12,100
1364,5472,TREAT-ICE,2,15
1364,5473,LATER,1,7
1364,5479,OUTDOOR LOCATION-OTHER,4,164
1364,5480,GO OUTSIDE,6,154
1364,5481,PLAY-ALL,29,144
1364,5485,WALK,1,40
1364,5486,WANT,8,10
1364,11125,ALL DONE,115,29
1364,11126,GO TO BED,37,29
1364,11128,OWN NAME,294,20
1364,11129,COME,91,91
1364,11131,CUDDLE,31,36
1364,11132,PERSON-PARENT,49,13
1364,11134,PLAY-HIDE & SEEK,49,37
1364,11135,FOOD,148,210
1364,11137,HAPPY,35,42
1364,11138,TREAT-ICE,26,69
1364,11139,LATER,160,31
1364,11140,LOOK,26,37
1364,11141,LOVE YOU,29,19
1364,11142,ANIMAL-DOG,5,12
1364,11143,PERSON-PARENT,185,24
1364,11144,MORE,58,57
1364,11145,NO,46,21
1364,11146,NOW,333,71
1364,11147,OK,274,73
1364,11149,OUTDOOR LOCATION-OTHER,139,492
1364,11150,PEE,42,46
1364,11152,SETTLE,61,24
1364,11154,OTHER,105,35
1364,11156,TREAT-ALL,71,207
1364,11157,BEGIN TRAINING SESSION,52,83
1364,11158,WALK,103,63
1364,11159,WANT,209,14
1364,11160,INTERROGATIVE/QUESTION,228,6
1364,11161,INTERROGATIVE/QUESTION,43,10
1364,11163,YES,274,44
1364,16083,CONCERNED,4,42
1364,16600,TOY-PUZZLE,115,275
1364,16614,HELP,64,90
1364,16615,ANIMAL-OTHER,22,9
1364,16745,OTHER,115,35
1364,16746,PERSON-RELATIVE,17,17
1364,16747,PERSON-RELATIVE,19,31
1364,16748,INTERROGATIVE/QUESTION,284,17
1364,16749,PERSON-RELATIVE,3,12
1364,16750,BRUSH,112,53
1364,16751,OTHER,19,43
1364,16752,OTHER,16,9
1364,16781,WATER,42,69
1364,17482,PLAY-ALL,90,133
1364,18181,TRICK-GIVE PAW,12,38
1364,18182,BODY PART,19,10
1364,18185,BODY PART,25,20
1364,19765,LET'S GO,146,25
1364,19766,POOP,28,85
1364,19767,OTHER,27,17
1364,19768,OTHER,4,12
1364,21396,PLACE-PARK,26,14
